Year;Country name;Local Democracy
;;
;;
;;
;;
2018;Dominican Republic;0
2018;Trinidad and Tobago;0.682720652
2018;Mexico;0.61470851
2018;Guatemala;0.569948712
2018;Honduras;0.515796279
2018;El Salvador;0.651732514
2018;Nicaragua;0.290954347
2018;Costa Rica;0.847232374
2018;Panama;0.71327975
2018;Colombia;0.648287408
2018;Venezuela;0.157267449
2018;Ecuador;0.723393868
2018;Peru;0.780509939
2018;Brazil;0.773981116
2018;Bolivia;0.794981249
2018;Paraguay;0.672151928
2018;Chile;0.754629347
2018;Argentina;0.712549506
2018;Uruguay;0.799079036
2018;United Kingdom;0.748424279
2018;Ireland;0.610422704
2018;Netherlands;0.715971773
2018;Belgium;0.811400836
2018;France;0.796296953
2018;Switzerland;0.754083818
2018;Spain;0.849619027
2018;Portugal;0.86569317
2018;Germany;0.767173064
2018;Poland;0.812951528
2018;Austria;0.813375972
2018;Hungary;0.702607608
2018;Czechia;0.715114267
2018;Slovakia;0.780170671
2018;Italy;0.857057784
2018;Albania;0.710356187
2018;North Macedonia;0.601630181
2018;Croatia;0.71842493
2018;Serbia;0.469102855
2018;Bosnia and Herzegovina;0.503051759
2018;Kosovo;0.511743163
2018;Slovenia;0.758378817
2018;Greece;0.708611442
2018;Cyprus;0.579606211
2018;Bulgaria;0.738283302
2018;Moldova;0.33862866
2018;Romania;0.480653187
2018;Russia;0.125203765
2018;Estonia;0.812430417
2018;Latvia;0.772507987
2018;Lithuania;0.693625485
2018;Ukraine;0.517089002
2018;Belarus;0.017038657
2018;Armenia;0.647844005
2018;Georgia;0.261557837
2018;Azerbaijan;0.00412953
2018;Finland;0.79522859
2018;Sweden;0.84806733
2018;Norway;0.778788032
2018;Denmark;0.799614367
2018;Guinea-Bissau;0
2018;Equatorial Guinea;0
2018;Gambia;0.25493407
2018;Mali;0.149773393
2018;Senegal;0.150294073
2018;Benin;0
2018;Mauritania;0.021654251
2018;Niger;0
2018;Cote d'Ivoire;0.46863848
2018;Guinea;0.031764346
2018;Burkina Faso;0.576430135
2018;Liberia;0
2018;Sierra Leone;0.731457727
2018;Ghana;0.18942981
2018;Togo;0
2018;Cameroon;0.014965274
2018;Nigeria;0.437025239
2018;Gabon;0.382867204
2018;Central African Republic;0
2018;Chad;0.035263746
2018;Republic of Congo;0.183383603
2018;Democratic Republic of the Congo (DRC);0
2018;Uganda;0.448735581
2018;Kenya;0.296254653
2018;Tanzania;0.420995767
2018;Burundi;0.033194959
2018;Rwanda;0.321072626
2018;Somalia;0
2018;Ethiopia;0.039841708
2018;Eritrea;0.001129552
2018;Angola;0
2018;Mozambique;0.436117891
2018;Zambia;0.416648772
2018;Zimbabwe;0.262839787
2018;Malawi;0.663488532
2018;South Africa;0.640412717
2018;Namibia;0.578515728
2018;Lesotho;0.651254925
2018;Botswana;0.675486003
2018;Eswatini;0.513486902
2018;Madagascar;0.13012832
2018;Mauritius;0.792354437
2018;Morocco;0.335418399
2018;Algeria;0.024814527
2018;Tunisia;0.1670222
2018;Libya;0.334573246
2018;Sudan;0
2018;South Sudan;0
2018;Iran;0.053594264
2018;Turkey;0.507296198
2018;Iraq;0
2018;Egypt;0.008699448
2018;Syria;0.103459455
2018;Lebanon;0.409893004
2018;Jordan;0.111034521
2018;Israel;0.786407913
2018;Saudi Arabia;0.002135578
2018;Yemen;0
2018;Kuwait;0
2018;Bahrain;0.010649735
2018;Qatar;0
2018;United Arab Emirates;0
2018;Oman;0.449707421
2018;Afghanistan;0.190288753
2018;Turkmenistan;0.000900884
2018;Tajikistan;0.002067207
2018;Kyrgyzstan;0.251489109
2018;Uzbekistan;0.00505713
2018;Kazakhstan;0.013312169
2018;China;0
2018;Mongolia;0.487103585
2018;Taiwan;0.853638102
2018;Democratic People's Republic of Korea;0.00455699
2018;Republic of Korea;0.779632324
2018;Japan;0.811039735
2018;India;0.483507231
2018;Pakistan;0.326401516
2018;Bangladesh;0.279836502
2018;Myanmar;0
2018;Sri Lanka;0.557875258
2018;Nepal;0.587169643
2018;Thailand;0
2018;Cambodia;0.165564429
2018;Laos;0.070782015
2018;Viet Nam;0.203158811
2018;Malaysia;0
2018;Singapore;0
2018;Philippines;0.519136674
2018;Indonesia;0.631547227
2018;Timor-Leste;0.799291186
2018;Australia;0.801786715
2018;Papua New Guinea;0.489865989
2018;New Zealand;0.793028664
2018;AU;0.242778038
2018;ASEAN;0.176687684
2018;EU;0.75888422
2018;OECD;0.764050961
2018;OAS;0.652939205
2018;East Africa;0.195153106
2018;Central Africa;0.088068547
2018;Southern Africa;0.480061168
2018;West Africa;0.215100109
2018;North Africa;0.100500803
2018;Caribbean;0.46767393
2018;Central America;0.600521784
2018;South America;0.681683084
2018;North America;0.745580936
2018;Central Asia;0.0545653
2018;East Asia;0.489328456
2018;South Asia;0.404179817
2018;South-East Asia;0.238948034
2018;Oceania;0.694893789
2018;Middle East & Iran;0.103679453
2018;East-Central Europe;0.673814521
2018;Eastern Europe/Post-Soviet Europe;0.273070208
2018;North/Western Europe;0.769903977
2018;Southern Europe;0.736327392
2018;Africa;0.242778038
2018;Latin America and the Caribbean;0.613865669
2018;North America;0.745580936
2018;Asia and the Pacific;0.336934595
2018;Middle East & Iran;0.103679453
2018;Europe;0.644896744
2018;World;0.417986116
2018;United States;0.690696463
2018;Canada;0.800465409
2018;Cuba;0.017678411
2018;Haiti;0.378381744
2018;Jamaica;0.791914911
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
